app,review_text,rating,date
Jumia,looking up to the delivery time and stuff quality,5,2025-07-30 08:34:27
Jumia,"fast delivery,good product.",5,2025-07-30 07:21:31
Jumia,good but delivery fee is too much how can you pay delivery fee for each item you buy like you order 5 items you different delivery fee,3,2025-07-29 23:46:22
Jumia,best services ever delivered,5,2025-07-29 07:43:27
Jumia,Very good in delivery and quick to attend to any situation,5,2025-07-29 04:26:28
Jumia,"chatting with an agent is very terrible, they will never reply you on time. and the worst part is you can't end a chat with an agent If he or she couldn't reply. mine i was stocked with this paticularly problem and I started chatting with the live bot and was later transferred to an agent and for a week now am still stock with the agent no reply and not even ending the chat. everyday I go back to see if the agent has end the chat, not even solving my problem. so terrible especially in ghana",1,2025-07-29 00:12:35
Jumia,till have my package delivered before I'll give you standard comment and increase to 4 or 5 star,1,2025-07-28 20:53:54
Jumia,ordering products on the same day but paying delivery fees for each order and the products been ready for pickup on different days this bad. using jumia outside accra is a headache. I guess I'll have to stop using this platform.,1,2025-07-28 19:16:17
Jumia,I love your products and your delivery time,5,2025-07-28 13:30:56
Jumia,amazing delivery app honestly,5,2025-07-28 11:29:09
Jumia,There is a little payment delay atimes.,3,2025-07-28 08:40:46
Jumia,it really nice here but they need to speed up the delivery process,5,2025-07-28 07:20:06
Jumia,"jumia is ever the best online shopping app, no street, no delay, I love it. sharp 👍👍🤸🤸🕺💃",5,2025-07-28 02:37:10
Jumia,not delivered as at the time scheduled,4,2025-07-27 20:48:05
Jumia,perfect for delivery,5,2025-07-27 16:29:28
Jumia,i like ordering from jumia. the part where i was asked to make payment online was not good for me. I prefer payments om Delivery 🚚. thanks to jumia.,5,2025-07-27 00:37:47
Jumia,this is the best in terms of delivery and purchase,5,2025-07-26 21:11:54
Jumia,"Amazing,but their delivery fee is too much",5,2025-07-26 06:34:06
Jumia,I tried ordering two goods.. they took delivery fee for each...,1,2025-07-26 05:28:50
Jumia,"what's up with jumia lately, it keeps telling me we cannot load your content currently when I open the app even after having it updated. it's otherwise been good",3,2025-07-26 04:56:28
Jumia,this is awesome for pay on delivery,5,2025-07-26 00:43:12
Jumia,Order always on time,5,2025-07-25 08:10:39
Jumia,good but late delivery,3,2025-07-25 05:03:43
Jumia,ayment on delivery is good idea,1,2025-07-25 04:34:16
Jumia,Good product delivery,5,2025-07-25 00:16:18
Jumia,good delivery on time,5,2025-07-24 20:28:12
Jumia,jumia is a great e commerce service and it can deliver to locations other services can't go and really trustworthy because of the payment on delivery,4,2025-07-24 14:28:17
Jumia,Giving us other prices on delivery,1,2025-07-24 13:19:02
Jumia,"jumia is a scammer online shopping app,i order a product, and wrong items delivered to me,I return it, and they accept and message me back with return processing within 7 day s , now it's over a month now despite series of lies on when they are to refund me back they have not able to do so, the worse is they don't respond to my calls and messages again so be careful with jumia, both my money together they used to scammed me is with them, great scammer",2,2025-07-24 06:27:10
Jumia,jumia delivery method changed drastically.......and it's so bad......before wen other u order u get within the nxt 24 hrs but nw.....7days.......it's so annoying,3,2025-07-24 05:44:53
Jumia,faster delivery I've been sleeping outside county and Kenya jumia is best I could rate 10stars,5,2025-07-24 03:00:39
Jumia,"I used to be a heavy jumia shopper, I stopped for a couple of reasons. 1. High delivery fees, jumia will collect 1500 for delivery of small products, the problem is if you buy 3 small items that fits in your pocket, jumia will multiply the delivery fees buy the number of products. even if it's the same delivery person, on the same day that delivers it. 2. Temu came along, jumia improve otherwise you'll pack up. I'm sure temu has reduced your customers and I'm one",1,2025-07-23 15:29:48
Jumia,can't open for the latest update,1,2025-07-23 07:00:23
Jumia,"I had the worst experience with Jumia Egypt, unpleasent process by all means..the couriers are impolite, and they delay the order, not as expected at all , they have no customer service or know how to deal with frustrated customers they are rip offs as they sell fake / non original products totally unrecommended... shame",1,2025-07-23 06:20:42
Jumia,late delivery outside Lagos,3,2025-07-23 04:55:28
Jumia,fast delivery,5,2025-07-23 04:30:53
Jumia,"my issue is with delivery, very slow.. I ordered an item and it took 3 weeks to deliver, even if there were using bicycle to deliver it would still be faster, they give u an estimated time of delivery and exceed it by a week.. I'm never ordering from them again",1,2025-07-23 02:44:54
Jumia,The best delivery app so far,5,2025-07-22 16:03:35
Jumia,joy 🥰🥰🥰 but why is the delivery fee very expensive,5,2025-07-22 14:31:57
Jumia,nice app very friendly and easy to understand do better with delivery 1 to 2 weeks to receive a package is too much shouldn't be more than 4 days,3,2025-07-22 10:20:36
Jumia,You are doing well with the delivery. keep it up!,4,2025-07-22 10:20:02
Jumia,I'm waiting for my delivery yet,3,2025-07-22 04:45:06
Jumia,One of the best delivery app now,5,2025-07-22 03:07:35
Jumia,the pay on delivery is super,5,2025-07-22 01:30:29
Jumia,Jumia is quick on delivery,5,2025-07-22 00:50:13
Jumia,"My experience so far with ur service Is great,but recentl delivery be taking alot of time before i get what I ordered.before i usually get what i ordered within the interval of a week now i takes more than 2 weeks for me to get what i ordered",3,2025-07-21 22:16:45
Jumia,is really nice but I think the time for delivery should be less than a week,4,2025-07-21 17:47:53
Jumia,everything about their business is on point except that sometimes your order will be delayed which is part of the work 🥳🥳,5,2025-07-21 09:24:36
Jumia,good delivered on time and customer service,1,2025-07-21 07:50:15
Jumia,try to deliver within the stipulated period,5,2025-07-21 04:32:20
Jumia,"I was really love using it, but now I'm just let down... packages getting cancelled without a single heads up – it's like, you wait forever, then find out it just vanished.",1,2025-07-20 08:51:02
Jumia,very okay but delivery takes long .,5,2025-07-20 07:44:34
Jumia,"service top notch... would love if written receipt can be included in delivery parcel mostly for gadgets (phones, laptops)",4,2025-07-20 02:42:22
Jumia,All service delivery so far is perfect 😁,2,2025-07-20 00:16:31
Jumia,I don't trust payments before delivery.,1,2025-07-19 22:57:00
Jumia,speeden delivery,4,2025-07-19 12:45:23
Jumia,"this is the best platform ever, no need to fear because you can actually pay on delivery 🥰",5,2025-07-19 06:38:52
Jumia,it's a nice app but expensive delivery charges,3,2025-07-19 06:30:46
Jumia,Trustworthy and delivery in time.. Low quality from some sellers sometimes (not always) and change of ordered color of item sometimes. Generally excellent products 👍,4,2025-07-19 04:50:56
Jumia,I really love the app but lately I can't login back to my account it always stops after I input the OTP sent to my email and am sure I always have data when trying to login,5,2025-07-18 05:29:34
Jumia,"I'm really disappointed with Jumia's service. You've been holding on to my money since June, and despite promising a refund within 3 to 10 business days, nothing has been done till now. This is unacceptable. First, you sold a fake product, and now you're delaying my refund endlessly. It’s starting to feel like you're scamming customers in a subtle way through the app. I need my refund **today**—I have urgent things to sort out with that money. Stop playing with people’s trust and fix this now",1,2025-07-18 02:47:33
Jumia,The delivery fee is too much This is not a friendly app for a reseller,1,2025-07-18 02:17:34
Jumia,"It's a great app, it has most of the coolest deals with affordable prices. Works great. Your promo deals are super with swift delivery. I haven't regretted shopping on this app",5,2025-07-18 01:10:42
Jumia,Jumia is best for when it comes to delivery,5,2025-07-17 23:56:37
Jumia,"The online shopping has been seamless including the payment process on checkout, but I have to wait for door delivery to have a complete experience. I may change this rating to 5 stars if all goes well and I receive the item. Thank you as all looks honest.",4,2025-07-17 23:08:21
Jumia,"delivery takes time, kindly work on it. Thanks 👍😊",5,2025-07-17 22:24:55
